Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,56.650001525878906,56.779998779296875,56.0099983215332,56.52000045776367,52.17502975463867,3149100
2017-01-04,56.47999954223633,57.400001525878906,56.20000076293945,57.31999969482422,52.91352844238281,3572400
2017-01-05,57.349998474121094,57.459999084472656,56.97999954223633,57.09000015258789,52.701210021972656,5166400
2017-01-06,57.13999938964844,58.0,56.380001068115234,57.869998931884766,53.42124557495117,6091200
2017-01-09,57.599998474121094,57.75,56.45000076293945,56.58000183105469,52.23041534423828,7006300
2017-01-10,56.43000030517578,56.93000030517578,55.939998626708984,56.65999984741211,52.304256439208984,4710700
2017-01-11,56.459999084472656,57.09000015258789,56.27000045776367,57.0099983215332,52.627357482910156,6377100
2017-01-12,57.16999816894531,57.16999816894531,56.15999984741211,56.9900016784668,52.6088981628418,3599500
2017-01-13,56.84000015258789,57.119998931884766,56.27000045776367,56.52000045776367,52.17502975463867,6223300
2017-01-17,56.5,56.880001068115234,56.31999969482422,56.58000183105469,52.23041534423828,3470200
2017-01-18,56.630001068115234,57.63999938964844,56.599998474121094,57.36000061035156,52.95045852661133,3970200
2017-01-19,57.25,57.43000030517578,56.4900016784668,56.650001525878906,52.29502487182617,3147500
2017-01-20,56.869998931884766,57.119998931884766,56.459999084472656,56.849998474121094,52.479652404785156,4485300
2017-01-23,56.880001068115234,56.95000076293945,55.66999816894531,56.16999816894531,51.8519287109375,4444000
2017-01-24,56.25,56.72999954223633,55.75,56.61000061035156,52.258113861083984,3613700
2017-01-25,56.81999969482422,57.56999969482422,56.58000183105469,57.54999923706055,53.1258544921875,5238100
2017-01-26,57.470001220703125,57.68000030517578,56.2599983215332,56.27000045776367,51.944252014160156,3406200
2017-01-27,56.29999923706055,56.630001068115234,56.04999923706055,56.130001068115234,51.81501388549805,3010800
2017-01-30,55.22999954223633,55.25,53.529998779296875,53.65999984741211,49.53488540649414,9261800
2017-01-31,52.029998779296875,53.13999938964844,51.52000045776367,52.59000015258789,48.547149658203125,10176800
2017-02-01,52.68000030517578,52.90999984741211,51.95000076293945,52.45000076293945,48.41791534423828,7478400
2017-02-02,52.70000076293945,52.81999969482422,51.58000183105469,51.68000030517578,47.70709991455078,7972300
2017-02-03,52.06999969482422,52.540000915527344,51.65999984741211,52.5,48.464054107666016,6176800
2017-02-06,53.47999954223633,53.47999954223633,52.439998626708984,52.7599983215332,48.70408248901367,7776900
2017-02-07,52.709999084472656,54.16999816894531,52.63999938964844,53.790000915527344,49.6549072265625,7606700
2017-02-08,57.0,57.4900016784668,54.7599983215332,56.45000076293945,52.11041259765625,20858300
2017-02-09,57.0,58.40999984741211,56.290000915527344,58.0,53.54125213623047,13235500
2017-02-10,58.0,58.34000015258789,57.369998931884766,57.400001525878906,52.98738098144531,6935500
2017-02-13,57.75,58.0,57.529998779296875,57.63999938964844,53.208927154541016,6744800
2017-02-14,57.290000915527344,57.689998626708984,57.18000030517578,57.36000061035156,52.95045852661133,10115300
2017-02-15,57.06999969482422,58.400001525878906,57.06999969482422,58.130001068115234,53.66124725341797,5636200
2017-02-16,58.25,58.47999954223633,57.75,58.099998474121094,53.63356018066406,4158200
2017-02-17,58.0099983215332,58.439998626708984,57.619998931884766,57.959999084472656,53.50432205200195,3777600
2017-02-21,57.91999816894531,58.689998626708984,57.65999984741211,58.619998931884766,54.113590240478516,4275100
2017-02-22,58.22999954223633,58.79999923706055,57.91999816894531,58.75,54.23359298706055,3238600
2017-02-23,58.79999923706055,59.310001373291016,58.619998931884766,59.150001525878906,54.60285186767578,3677000
2017-02-24,58.959999084472656,59.5,58.75,59.5,54.92594528198242,3169400
2017-02-27,59.4900016784668,59.66999816894531,59.11000061035156,59.58000183105469,54.999786376953125,4908500
2017-02-28,59.29999923706055,59.58000183105469,59.119998931884766,59.27000045776367,54.713626861572266,5466300
2017-03-01,59.709999084472656,60.38999938964844,59.4900016784668,60.25,55.61829376220703,5163300
2017-03-02,59.959999084472656,60.33000183105469,59.66999816894531,60.16999816894531,55.544437408447266,2850700
